run_id,scenario,seed,algo,served,unserved,wait_mean_min,ride_time_extra_mean_min,time_total_min,dist_total_km,cost,cpu_time_sec,cpu_time_grasp_sec,cpu_time_vnd_sec
scenario_8__seed3__algograsp__alpha0.3__ms30__tl120,scenario_8,3,grasp,31.0,89.0,1.826331241925437,5.433357317549145,640.0448399282598,254.0,1780.978593503078,122.58324098587036,122.58324098587036,0.0
scenario_8__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_8,3,grasp_vnd,31.0,89.0,1.6881207584448794,4.847258931233193,601.5317435117912,237.0,1780.9164438946793,124.65962100028992,122.58324098587036,2.0763800144195557
scenario_8__seed4__algograsp__alpha0.3__ms30__tl120,scenario_8,4,grasp,29.0,91.0,0.8844702857081922,4.7196266673962395,620.6210668569661,254.0,1820.9635612760133,120.98977065086365,120.98977065086365,0.0
scenario_8__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_8,4,grasp_vnd,29.0,91.0,0.765915403488791,3.730032782935296,602.5544038440321,249.0,1820.940066390641,124.57390856742859,120.98977065086365,3.5841379165649414
scenario_8__seed5__algograsp__alpha0.3__ms30__tl120,scenario_8,5,grasp,30.0,90.0,1.4147039419323295,2.128092856018648,714.44111825797,300.0,1801.1236884563762,120.23584008216858,120.23584008216858,0.0
scenario_8__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_8,5,grasp_vnd,30.0,90.0,1.5461648562047314,2.0209698464575534,713.584945686142,298.0,1801.119220681932,122.2410945892334,120.23584008216858,2.0052545070648193
scenario_9__seed1__algograsp__alpha0.3__ms30__tl120,scenario_9,1,grasp,54.0,66.0,2.599689118920491,3.3066410252228042,1330.0974981359923,524.0,1321.0751613605842,122.07008481025696,122.07008481025696,0.0
scenario_9__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_9,1,grasp_vnd,54.0,66.0,2.6567585756164642,2.692782889037048,1164.8363916547175,446.0,1320.928471350279,146.81876683235168,122.07008481025696,24.748682022094727
scenario_9__seed2__algograsp__alpha0.3__ms30__tl120,scenario_9,2,grasp,58.0,62.0,2.619961841455312,4.970597633818207,1196.1863582329795,448.0,1240.943293743788,121.20264196395874,121.20264196395874,0.0
scenario_9__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_9,2,grasp_vnd,58.0,62.0,3.100985349126023,4.301402883197585,1140.4857216778807,411.0,1240.882967880538,135.56281185150146,121.20264196395874,14.360169887542725
scenario_9__seed3__algograsp__alpha0.3__ms30__tl120,scenario_9,3,grasp,55.0,65.0,1.982520151102629,4.071733353868157,1202.867179739216,474.0,1300.9724420885873,121.57751941680908,121.57751941680908,0.0
scenario_9__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_9,3,grasp_vnd,55.0,65.0,2.5419216836304357,3.7169250445320627,1033.0628354568166,386.0,1300.8137359679715,151.767813205719,121.57751941680908,30.190293788909912
scenario_9__seed4__algograsp__alpha0.3__ms30__tl120,scenario_9,4,grasp,56.0,64.0,1.7222567316127486,3.6992090967465265,1175.5320912560283,470.0,1280.9572251280683,121.32857751846313,121.32857751846313,0.0
scenario_9__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_9,4,grasp_vnd,56.0,64.0,2.66877980260737,3.1605780879378353,1084.19452608887,406.0,1280.8549214116076,151.52851057052612,121.32857751846313,30.19993305206299
scenario_9__seed5__algograsp__alpha0.3__ms30__tl120,scenario_9,5,grasp,56.0,64.0,1.2661964667346643,3.7306755538689425,1379.821287851427,582.0,1281.1543903078352,122.2738881111145,122.2738881111145,0.0
scenario_9__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_9,5,grasp_vnd,56.0,64.0,1.3084682430995005,3.9714918803995536,1294.131364470715,542.0,1281.078780908618,128.0175428390503,122.2738881111145,5.743654727935791
scenario_10__seed1__algograsp__alpha0.3__ms30__tl120,scenario_10,1,grasp,43.0,57.0,3.491955808596569,6.020951867840248,1242.2683854839381,490.0,1141.1142715690723,120.89548897743225,120.89548897743225,0.0
scenario_10__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_10,1,grasp_vnd,43.0,57.0,3.3805429715879765,3.8341829684261386,1029.363347778283,396.0,1140.912108114138,144.2746844291687,120.89548897743225,23.37919545173645
scenario_10__seed2__algograsp__alpha0.3__ms30__tl120,scenario_10,2,grasp,43.0,57.0,2.724505919665508,4.645658868804568,1104.239468831331,434.0,1140.9887263668772,120.57819986343384,120.57819986343384,0.0
scenario_10__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_10,2,grasp_vnd,43.0,57.0,2.767027701000415,3.873533518919233,971.8964768573034,373.0,1140.8601905862818,140.36922883987427,120.57819986343384,19.79102897644043
scenario_10__seed3__algograsp__alpha0.3__ms30__tl120,scenario_10,3,grasp,45.0,55.0,1.5021959298320395,3.994976201103281,1004.8559596995847,410.0,1100.9165631571125,121.24639773368835,121.24639773368835,0.0
scenario_10__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_10,3,grasp_vnd,45.0,55.0,1.5806750489438823,3.611305104427921,872.9018057739032,351.0,1100.790438959968,128.33465123176575,121.24639773368835,7.088253498077393
scenario_10__seed4__algograsp__alpha0.3__ms30__tl120,scenario_10,4,grasp,48.0,52.0,2.829196415365363,5.562215550225346,1036.715713651823,388.0,1040.9065268079635,121.15462446212769,121.15462446212769,0.0
scenario_10__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_10,4,grasp_vnd,48.0,52.0,3.3574980599196014,5.345349058180798,951.445621161855,341.0,1040.8151116581525,142.25989079475403,121.15462446212769,21.105266332626343
scenario_10__seed5__algograsp__alpha0.3__ms30__tl120,scenario_10,5,grasp,43.0,57.0,1.4661222666000127,3.273078031732203,1069.9004003209434,434.0,1140.973055769623,121.47616648674011,121.47616648674011,0.0
scenario_10__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_10,5,grasp_vnd,43.0,57.0,2.1971950410772476,3.7957979490569973,1016.7079581948931,396.0,1140.9063328406125,127.50870656967163,121.47616648674011,6.0325400829315186
